##Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass	Markers_Hit
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	163003	species	THERMOCOCCUS SP. CL1	0.10865487713	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	944644	family	MARSEILLEVIRUS FAMILY	0.090722858074	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	51368	no rank	UNCLASSIFIED DSDNA VIRUSES	0.090722858074	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	365144	no rank	SOFT SHELLED TURTLE IRIDOVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	795361	no rank	UNCLASSIFIED MEGALOCYTIVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	273651	species	TURBOT REDDISH BODY IRIDOVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	322017	no rank	ORANGE SPOTTED GROUPER IRIDOVIRUS	0.068830504607	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	69014	no rank	THERMOCOCCUS KODAKARENSIS KOD1	0.054327440141	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	311400	species	THERMOCOCCUS KODAKARENSIS	0.054327440141	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	1151117	no rank	THERMOCOCCUS ZILLIGII AN1	0.054327435025	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	54076	species	THERMOCOCCUS ZILLIGII	0.054327435025	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2258	order	THERMOCOCCALES	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	35237	no rank	DSDNA VIRUSES NO RNA STAGE	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2157	superkingdom	ARCHAEA	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	131567	no rank	CELLULAR ORGANISMS	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	28890	phylum	EURYARCHAEOTA	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	183968	class	THERMOCOCCI	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2259	family	THERMOCOCCACEAE	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2263	genus	THERMOCOCCUS	0.0241408486624444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	10239	superkingdom	VIRUSES	0.0241408486624444	V441
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1351	species	ENTEROCOCCUS FAECALIS	0.428571611927429	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	749494	no rank	ENTEROCOCCUS FAECALIS TX4244	0.142857139588143	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	749510	no rank	ENTEROCOCCUS FAECALIS TX0645	0.142857124128143	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	1201292	no rank	ENTEROCOCCUS FAECALIS ATCC 29212	0.142857119527143	hsp70
SRR492065.4569 HWI-EAS385_0095_FC:2:1:14365:3441 length=200	4.105	525278	no rank	ENTEROCOCCUS FAECALIS TX1322	0.142857004829143	hsp70
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	concat
SRR492065.6701 HWI-EAS385_0095_FC:2:1:10622:4342 length=200	2.142	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	concat
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	1175452	species	PEPTONIPHILUS RHINITIDIS	0.5	enolase
SRR492065.5765 HWI-EAS385_0095_FC:2:1:19119:3945 length=200	2.106	875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	0.5	enolase
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	10501	family	PHYCODNAVIRIDAE	0.134246315888414	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	346673	genus	COCCOLITHOVIRUS	0.134246315888414	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	181082	species	EMILIANIA HUXLEYI VIRUS 86	0.134246315888414	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	34395	order	CHAETOTHYRIALES	0.0719576824440432	V696
SRR492065.3145 HWI-EAS385_0095_FC:2:1:17744:2821 length=200	3.198	5583	genus	EXOPHIALA	0.0719576824440432	V696
