#Sequence_ID	Hit_Coordinates	NCBI_Taxon_ID	Taxon_Rank	Taxon_Name	Cumulative_Probability_Mass	Markers_Hit
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	1	no rank	ROOT	1	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	10239	superkingdom	VIRUSES	0.505049431900889	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	131567	no rank	CELLULAR ORGANISMS	0.494950568099111	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	35237	no rank	DSDNA VIRUSES NO RNA STAGE	0.480908583238444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2157	superkingdom	ARCHAEA	0.470809719436667	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	28890	phylum	EURYARCHAEOTA	0.446668870774222	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	183968	class	THERMOCOCCI	0.422528022111778	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2258	order	THERMOCOCCALES	0.398387173449333	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2259	family	THERMOCOCCACEAE	0.374246324786889	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	2263	genus	THERMOCOCCUS	0.350105476124444	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	10486	family	IRIDOVIRIDAE	0.275322018428	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	308906	genus	MEGALOCYTIVIRUS	0.206491513821	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	51368	no rank	UNCLASSIFIED DSDNA VIRUSES	0.181445716148	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	795361	no rank	UNCLASSIFIED MEGALOCYTIVIRUS	0.137661009214	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	311400	species	THERMOCOCCUS KODAKARENSIS	0.108654880282	V441
SRR492065.2986 HWI-EAS385_0095_FC:2:1:14650:2746 length=200	1.102	163003	species	THERMOCOCCUS SP. CL1	0.10865487713	V441
