#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	3.11233463547095
1351	species	ENTEROCOCCUS FAECALIS	16.1714091684997
1175452	species	PEPTONIPHILUS RHINITIDIS	7.5391477724243
875454	no rank	PEPTONIPHILUS RHINITIDIS 1 13	7.5391477724243
77133	species	UNCULTURED BACTERIUM	2.57856291264574
491074	no rank	ENTEROCOCCUS FAECALIS TX0104	1.701136232591
1279	genus	STAPHYLOCOCCUS	1.6704756501054
162289	genus	PEPTONIPHILUS	1.36062293150535
1307956	species	LEUCANIA SEPARATA NUCLEOPOLYHEDROVIRUS	1
10397	species	TUPAIID HERPESVIRUS 1	1
1280	species	STAPHYLOCOCCUS AUREUS	0.974178449274
10294	genus	SIMPLEXVIRUS	0.94842403954455
10319	genus	VARICELLOVIRUS	0.93635275880515
1324794	species	SIMIAN ADENOVIRUS C	0.874344676733
1243664	species	BACILLUS SP. G22012B	0.840006682022
1747	species	PROPIONIBACTERIUM ACNES	0.7429359034816
46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	0.54401781888062
180252	genus	MARDIVIRUS	0.53349465310879
33010	species	PROPIONIBACTERIUM AVIDUM	0.527155270949
1170318	no rank	PROPIONIBACTERIUM AVIDUM 44067	0.527155270949
1033744	species	PEPTONIPHILUS SP. JC140	0.508961724563
1354	species	ENTEROCOCCUS HIRAE	0.5
768486	no rank	ENTEROCOCCUS HIRAE ATCC 9790	0.5
11642	species	SIMIAN FOAMY VIRUS	0.4562105183776
481315	species	LEPORID HERPESVIRUS 4	0.4374856640676
160618	genus	KRYPTOPERIDINIUM	0.432039561523
160619	species	KRYPTOPERIDINIUM FOLIACEUM	0.432039561523
1194085	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS SA40	0.399230438561
904746	no rank	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS 21264	0.399230156581
1278071	no rank	STAPHYLOCOCCUS AUREUS 3957	0.398533794094
10353	species	SAIMIRIINE HERPESVIRUS 1	0.3938246138843
525278	no rank	ENTEROCOCCUS FAECALIS TX1322	0.369972684608
749517	no rank	ENTEROCOCCUS FAECALIS TX1467	0.367569168431
1201292	no rank	ENTEROCOCCUS FAECALIS ATCC 29212	0.33321212824
81852	family	ENTEROCOCCACEAE	0.3276021792422
749494	no rank	ENTEROCOCCUS FAECALIS TX4244	0.315909334171
2284	genus	SULFOLOBUS	0.286106736461
1385	order	BACILLALES	0.285695567397
872330	species	ACIDITHIOBACILLUS SP. GGI 221	0.283028924933
565649	no rank	ENTEROCOCCUS FAECALIS FLY1	0.275642881221
327984	no rank	UNCLASSIFIED IRIDOVIRUS	0.273888724989
10310	species	HUMAN HERPESVIRUS 2	0.272420424337
1134801	no rank	ENTEROCOCCUS FAECALIS R508	0.2579368269262
